word,lemma,is_shouting?,afinn,wiebe,total
Sanctions,sanction,false,0,1.0,1.0
are,be,false,0,0,1.0
coming,come,false,0,0,1.0
European,european,false,0,0,1.0
Union,union,false,0,0,1.0
bureaucrat,bureaucrat,false,0,0,1.0
threatens,threaten,false,-0.67,-0.5,-0.17
to,to,false,0,0,-0.17
FREEZE,freeze,true,0,0,-1.17
job,job,false,0,0,-1.17
offers,offer,false,0,0,-1.17
for,for,false,0,0,-1.17
men,man,false,0,0,-1.17
threaten,threaten,false,-0.67,-0.5,-2.34
threat,threat,false,-0.67,-0.5,-3.51
UK,uk,false,0,0,-3.51
USA,usa,false,0,0,-3.51
ISIS,isis,false,0,0,-3.51
